Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;25;19;31;100,0;30;30;0;25;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5;3;7;100,0;31;31;0;5;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;7;5;9;100,0;31;31;0;7;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;7;5;9;100,0;31;31;0;7;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5;3;7;100,0;31;31;0;5;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;12;8;16;100,0;31;31;0;12;0,0;Totalt;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;13;9;17;100,0;31;31;0;13;0,0;1;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;12;9;15;100,0;31;31;0;12;0,0;2;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;12;9;15;100,0;31;31;0;12;0,0;Totalt i retning Planetariet/UIT;-;-;-;-;-;-;-;-
01011B1109432;UIT/Planetariet Sykkel;KV12650 S2D1 m22;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;13;9;17;100,0;31;31;0;13;0,0;Totalt i retning UNN;-;-;-;-;-;-;-;-
